==================================================================
                        General Data File
==================================================================
Units:
length m mass kg
Number of elements and nodes:
3979 864

.................................................................

Node                X m        Y m        Z m
Coordinates:
382      0.92008       3.4656      -6.4285
383       6.3333       7.0833      -2.8579
384       7.5045       4.7802      -4.9537
385            0            3          -10
386       3.1492       6.7414      -2.6352
387       1.0429       7.7822      -2.7849
388       1.8201       6.8636      -2.8408
389       6.8794       5.2824      -4.0583
390       2.7728        4.286      -4.3603
391       2.1418        3.005      -6.3065
392            0            3      -8.8889
393       7.7064       3.8257      -6.2069
394        4.119       1.8997      -9.1801
395       5.8163       3.6138      -5.2829
396       5.4477       7.2557       -2.467
397       2.7877       4.7643      -3.8718
398       6.7512       2.5263      -8.1805
399       4.6475       9.1907      -1.8945
400       2.6579       1.9835      -9.1207
401       3.2748       9.4561      -1.8717
402       3.9393       4.1947      -4.2099
403       2.9529       2.5657      -6.7034
404       1.8131       5.2453       -3.686
405       2.7094       7.5671      -2.2704
406       3.7864       7.3899       -2.209
407       7.3717       5.7853       -3.789
408       2.2895       2.3086      -7.5565
409       2.6201       3.5422      -5.0172
410       4.9088       2.3915      -6.8696
411        7.375          2.5      -9.0474
412            0       6.0438      -3.8993
413       2.9601       5.4313      -3.1505
414            0       3.9315      -5.9858
415       1.7781       3.9962      -4.7117
416       1.1335       4.5299       -4.447
417       5.1504       2.0787      -7.7203
418       2.5486       1.7986          -10
419            0            7      -3.3333
420       5.8955       2.4365      -7.0507
421          2.4          8.8      -1.9053
422       2.4585       6.1214       -2.771
423       5.0324       3.2168      -5.2233
424            0            3      -7.7778
425       5.3333       8.3333      -1.9053
426        2.033       1.9928      -8.5394
427       3.7114       2.6083      -6.0472
428         0.75         2.25          -10
429       5.3614       1.7941      -8.6492
430       5.3129       4.8229      -3.4785
431        4.569       1.7475      -8.3777
432      0.75916       6.4374      -3.0718
433       6.1348       5.5808      -3.1237
434       3.8251       2.1224      -6.9174
435       1.9954       4.4705       -3.897
436       1.7087       7.4926      -2.2334
437            8            5      -4.4444
438       4.7365       2.5958      -5.9017
439       4.1967       3.3562      -4.6921
440         5.94       6.5516      -2.4696
441       3.6499       4.7238       -3.328
442      0.89559       5.6219      -3.3815
443       6.3289       2.7143      -6.2163
444       3.4375       2.9844      -5.1574
445        5.269       1.5492          -10
446       2.8933       1.7178      -8.1854
447       0.7393       3.5428      -5.4322
448       6.2008        1.731          -10
449      0.72395       2.2761      -8.1077
450       4.5361       7.6891      -1.7179
451       7.0111       4.3896      -4.1788
452         7.25            2          -10
453       3.7663       1.6586      -7.7626
454            0       5.0366      -4.1632
455        1.125        1.875      -9.0474
456       5.3624       6.1553      -2.3449
457            0       4.1403           -5
458       1.5252       8.1439      -1.8717
459       1.3997       2.8391      -5.7923
460            6          7.5      -1.9053
461        4.269       1.2992          -10
462       2.2771       6.6698      -2.1426
463       6.8694       1.8142      -9.2211
464       5.0539       3.4701      -4.3256
465       5.8047       4.0185       -3.916
466            0            3      -6.6667
467       3.8924        6.404      -2.0504
468       1.4011       5.8901      -2.7482
469       5.5746       2.6024      -5.6327
470       2.7703       2.4869      -5.7192
471       3.2929       3.4311      -4.2814
472       7.3623       2.4492      -7.1538
473        5.098       6.7505      -1.9576
474       4.6819       4.0563      -3.6192
475       4.5993       5.6401      -2.4154
476        4.521       4.9217      -2.8695
477       3.7055       5.0969      -2.7318
478       4.5092       1.6267      -7.3828
479       4.0699       1.2642      -8.9864
480       7.6936       3.7743           -5
481       6.4374       4.7864      -3.3379
482       6.1555       1.6963      -8.0058
483       7.2014       5.9982      -2.8288
484       6.3828       3.4464      -4.5912
485       7.2475       1.9898      -8.1925
486       2.9696       1.6785      -7.1707
487          1.5          1.5          -10
488       4.3875       2.4075       -5.443
489       3.0113       6.0874      -2.1043
490            4           10      -1.1111
491       3.1107        7.872      -1.4019
492       6.0299       1.3578       -9.266
493       6.5389       2.8928      -5.2478
494       5.5621       2.0906      -6.1689
495       5.4282       5.2282      -2.5672
496      0.81989       3.6906      -4.4862
497        3.269       1.0492          -10
498       3.7622       2.2158      -5.5202
499       3.5767       1.1383      -8.5681
500        2.726       4.6398      -2.8974
501       1.1122       6.7255      -2.1421
502       1.8033       2.9969      -4.8075
503       3.3098       6.8927      -1.5805
504       2.3128       3.4432      -4.0663
505       1.7428       2.3592      -5.8004
506       3.2972        1.877      -6.1448
507       2.2731       1.8638      -6.4724
508       5.7897       2.9675      -4.6181
509       3.1411       3.7365      -3.5451
510        5.219          1.3      -7.8742
511      0.93016       4.5479       -3.466
512          1.5          1.5      -8.0947
